Trade,Opened,Closed,DIT,Description,Symbol,Planned_Capital,Maximum_Margin,Current_Margin,Profit_Loss,Yield_on_Max_Margin,Yield_on_Planned_Capital,Short_Strike_Delta,Position_Delta,Updated_Eastern,View_Details
73,2025-01-10,2025-01-14,4,TRADE 073- 24Jan 2025 SPX A14,SPX,2446,2446,,117.84,0.0482,0.0482,,,14 Jan 2025 at 11:52 AM,
72,2025-01-03,2025-01-08,5,TRADE 072- 17Jan 2025 SPX A14,SPX,3502,3502,,166.76,0.0476,0.0476,,,9 Jan 2025 at 12:43 PM,
71,2024-12-27,2024-12-30,3,*TRADE 071- 20Dec 2024 SPX A14-PT,SPX,2376,2376,,107.84,0.0454,0.0454,,,30 Dec 2024 at 1:51 PM,
70,2024-12-13,2024-12-18,5,TRADE 070- 20Dec 2024 SPX A14,SPX,2742,2742,,114.8,0.0419,0.0419,,,18 Dec 2024 at 11:39 AM,
69,2024-12-06,2024-12-11,5,TRADE 069- 20Dec 2024 SPX A14,SPX,2969,2969,,216.76,0.073,0.073,,,11 Dec 2024 at 10:48 AM,
68,2024-11-29,2024-12-06,7,TRADE 068- 13Dec 2024 SPX A14,SPX,3882,3882,,133.72,0.0344,0.0344,,,6 Dec 2024 at 4:32 PM,
67,2024-11-22,2024-11-22,0,TRADE 067- 6Dec 2024 SPX A14,SPX,2356,2356,,107.84,0.0458,0.0458,,,22 Nov 2024 at 5:33 PM,
66,2024-11-15,2024-11-22,7,TRADE 066- 29Nov 2024 SPX A14,SPX,3184,3184,,151.76,0.0477,0.0477,,,23 Nov 2024 at 2:59 PM,
65,2024-11-08,2024-11-13,5,TRADE 065- 22Nov 2024 SPX A14,SPX,2496,2496,,127.84,0.0512,0.0512,,,13 Nov 2024 at 2:11 PM,
64,2024-10-25,2024-11-01,7,TRADE 064 - 8Nov 2024 SPX A14,SPX,1733,1733,,-6.28,-0.0036,-0.0036,,,1 Nov 2024 at 10:57 AM,
63,2024-10-18,2024-10-25,7,TRADE 063 - 1Nov 2024 SPX A14,SPX,2752,2752,,144.8,0.0526,0.0526,,,25 Oct 2024 at 10:47 AM,
62,2024-10-11,2024-10-17,6,TRADE 062 - 25Oct 2024 SPX A14,SPX,3952,3952,,221.76,0.0561,0.0561,,,17 Oct 2024 at 4:08 PM,
61,2024-10-04,2024-10-08,4,TRADE 061 - 18Oct 2024 SPX A14,SPX,3472,3472,,184.8,0.0532,0.0532,,,8 Oct 2024 at 11:07 AM,
