Trade,Opened,Closed,DIT,Description,Symbol,Planned_Capital,Maximum_Margin,Current_Margin,Profit_Loss,Yield_on_Max_Margin,Yield_on_Planned_Capital,Short_Strike_Delta,Position_Delta,Updated_Eastern,View_Details
74,2025-01-17,,5,TRADE 074- 31Jan 2025 SPX A14,SPX,2436.0,2436.0,2436.0,0.0,0.0,17 Jan 2025 at 12:27 PM,,,,
73,2025-01-10,2025-01-14,4,TRADE 073- 24Jan 2025 SPX A14,SPX,2446.0,2446.0,,117.84,0.0482,0.0482,,,2025-01-14 11:52:00,
72,2025-01-03,2025-01-08,5,TRADE 072- 17Jan 2025 SPX A14,SPX,3502.0,3502.0,,166.76,0.0476,0.0476,,,2025-01-09 12:43:00,
71,2024-12-27,2024-12-30,3,*TRADE 071- 20Dec 2024 SPX A14-PT,SPX,2376.0,2376.0,,107.84,0.0454,0.0454,,,2024-12-30 13:51:00,
70,2024-12-13,2024-12-18,5,TRADE 070- 20Dec 2024 SPX A14,SPX,2742.0,2742.0,,114.8,0.0419,0.0419,,,2024-12-18 11:39:00,
69,2024-12-06,2024-12-11,5,TRADE 069- 20Dec 2024 SPX A14,SPX,2969.0,2969.0,,216.76,0.073,0.073,,,2024-12-11 10:48:00,
68,2024-11-29,2024-12-06,7,TRADE 068- 13Dec 2024 SPX A14,SPX,3882.0,3882.0,,133.72,0.0344,0.0344,,,2024-12-06 16:32:00,
67,2024-11-22,2024-11-22,0,TRADE 067- 6Dec 2024 SPX A14,SPX,2356.0,2356.0,,107.84,0.0458,0.0458,,,2024-11-22 17:33:00,
66,2024-11-15,2024-11-22,7,TRADE 066- 29Nov 2024 SPX A14,SPX,3184.0,3184.0,,151.76,0.0477,0.0477,,,2024-11-23 14:59:00,
65,2024-11-08,2024-11-13,5,TRADE 065- 22Nov 2024 SPX A14,SPX,2496.0,2496.0,,127.84,0.0512,0.0512,,,2024-11-13 14:11:00,
64,2024-10-25,2024-11-01,7,TRADE 064 - 8Nov 2024 SPX A14,SPX,1733.0,1733.0,,-6.28,-0.0036,-0.0036,,,2024-11-01 10:57:00,
63,2024-10-18,2024-10-25,7,TRADE 063 - 1Nov 2024 SPX A14,SPX,2752.0,2752.0,,144.8,0.0526,0.0526,,,2024-10-25 10:47:00,
62,2024-10-11,2024-10-17,6,TRADE 062 - 25Oct 2024 SPX A14,SPX,3952.0,3952.0,,221.76,0.0561,0.0561,,,2024-10-17 16:08:00,
61,2024-10-04,2024-10-08,4,TRADE 061 - 18Oct 2024 SPX A14,SPX,3472.0,3472.0,,184.8,0.0532,0.0532,,,2024-10-08 11:07:00,
60,2024-09-27,2024-10-04,7,TRADE 060 - 11Oct 2024 SPX A14,SPX,5014.0,5014.0,,191.76,0.0382,0.0382,,,2024-10-04 19:49:00,
59,2024-09-20,2024-09-25,5,TRADE 059 - 4Oct 2024 SPX A14,SPX,3602.0,3602.0,,134.8,0.0374,0.0374,,,2024-09-25 16:38:00,
58,2024-09-13,2024-09-18,5,TRADE 058 - 27Sep 2024 SPX A14,SPX,2376.0,2376.0,,57.84,0.0243,0.0243,,,2024-09-18 16:43:00,
